
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
8C:09:F4:88:97:E0, 2017-09-27 01:05:52, 2017-09-27 02:31:02,  7,  54, WPA2, CCMP,PSK, -64,      152,        0,   0.  0.  0.  0,   9, EL VIRREY, 
14:60:80:B2:0F:2C, 2017-09-27 01:06:35, 2017-09-27 02:30:59,  2,  54, WPA2, CCMP,PSK, -69,      120,        0,   0.  0.  0.  0,  11, MUSIC HOUSE, 
D8:BB:2C:BD:BB:EE, 2017-09-27 02:30:48, 2017-09-27 02:30:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
74:E5:0B:A6:2E:F8, 2017-09-27 02:30:48, 2017-09-27 02:30:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
90:FD:61:F1:37:26, 2017-09-27 02:30:48, 2017-09-27 02:30:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:04:56:B8:B0:E1, 2017-09-27 01:05:59, 2017-09-27 02:30:47,  6,  54, OPN, ,   , -61,      282,       18,   0.  0.  0.  0,  25, WiFi Gratis para la Gente, 
2C:30:33:5E:C9:0B, 2017-09-27 01:21:12, 2017-09-27 02:30:51,  8,  54, WPA2, CCMP,PSK, -68,       59,       11,   0.  0.  0.  0,  15, NETGEAR69_2GEXT, 
08:6A:0A:B0:1C:D5, 2017-09-27 01:06:06, 2017-09-27 02:30:48,  1,  54, WPA2, CCMP TKIP,PSK, -71,        7,        8,   0.  0.  0.  0,  12, 771403655187, 
58:6D:8F:8F:AF:88, 2017-09-27 01:17:50, 2017-09-27 02:30:47,  6,  54, WPA2, CCMP,PSK, -71,       54,        0,   0.  0.  0.  0,  13, PERAZA1ERPISO, 
24:DA:9B:02:96:70, 2017-09-27 02:30:35, 2017-09-27 02:30:35,  4,  54, WPA2, CCMP,PSK, -70,        0,        0,   0.  0.  0.  0,  14, edgar valbuena, 
0A:18:D6:E7:62:A9, 2017-09-27 02:29:34, 2017-09-27 02:29:34, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9C:AD:97:7F:E9:DF, 2017-09-27 02:21:07, 2017-09-27 02:29:27,  1,  54, OPN, ,   , -72,        1,        0,   0.  0.  0.  0,  25, HP-Print-DF-LaserJet 1025, 
80:2A:A8:D4:84:8B, 2017-09-27 01:23:14, 2017-09-27 02:28:50,  6,  54, WPA2, CCMP,PSK, -72,       17,        0,   0.  0.  0.  0,  12, canasto_wifi, 
30:B5:C2:C8:AB:02, 2017-09-27 01:05:54, 2017-09-27 02:28:03, 10,  54, WPA2, CCMP,PSK, -72,      169,        0,   0.  0.  0.  0,  14, TP-LINK_C8AB02, 
3C:15:C2:F2:F4:54, 2017-09-27 02:26:10, 2017-09-27 02:27:49,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
FA:8F:CA:74:37:A4, 2017-09-27 01:06:24, 2017-09-27 02:27:48,  1,  54, OPN, ,   , -72,       44,        0,   0.  0.  0.  0,   0, , 
00:0E:B4:1A:E4:24, 2017-09-27 01:31:25, 2017-09-27 02:26:22,  3,  54, WPA, CCMP,PSK, -72,       19,        2,   0.  0.  0.  0,  10, SOFIA 2017, 
14:1F:78:BD:AB:02, 2017-09-27 02:26:10, 2017-09-27 02:26:10,  1,  54, WPA2, CCMP,PSK, -64,        3,        0,   0.  0.  0.  0,   9, AndroidAP, 
C8:B3:73:4D:CA:04, 2017-09-27 01:16:50, 2017-09-27 02:25:00,  2,  54, WPA2 WPA, CCMP TKIP,PSK, -72,        1,        1,   0.  0.  0.  0,   4, Plan, 
E8:50:8B:19:90:63, 2017-09-27 02:24:23, 2017-09-27 02:24:23,  1,  54, WPA2, CCMP,PSK, -62,        1,        0,   0.  0.  0.  0,   9, AndroidAP, 
18:D2:76:13:15:74, 2017-09-27 02:23:37, 2017-09-27 02:23:37,  6,  54, WPA2, CCMP,PSK, -58,        2,        0,   0.  0.  0.  0,  11, HUAWEI-1574, 
56:27:58:14:18:80, 2017-09-27 02:21:50, 2017-09-27 02:21:50,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
A8:96:75:B4:3C:9E, 2017-09-27 02:21:11, 2017-09-27 02:21:11,  9,  54, WPA2, CCMP,PSK, -71,        1,        0,   0.  0.  0.  0,  15, Moto G (5) 9764, 
AC:64:62:DE:FF:10, 2017-09-27 02:20:02, 2017-09-27 02:20:02,  5,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
68:A8:6D:4E:66:5A, 2017-09-27 02:16:48, 2017-09-27 02:16:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
28:CF:DA:EB:3C:F6, 2017-09-27 01:16:48, 2017-09-27 02:16:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
4A:D9:E7:23:27:2C, 2017-09-27 02:12:00, 2017-09-27 02:16:46, 11,  54, WPA2 WPA, CCMP,PSK, -72,        4,        0,   0.  0.  0.  0,  10, SIUTUTUAVA, 
00:04:56:B8:A9:A1, 2017-09-27 01:19:12, 2017-09-27 02:16:13,  1,  54, OPN, ,   , -70,        4,        0,   0.  0.  0.  0,  25, WiFi Gratis para la Gente, 
98:E7:F5:B7:6C:EA, 2017-09-27 02:07:03, 2017-09-27 02:07:03, 11,  54, WPA2, CCMP,PSK, -71,        1,        0,   0.  0.  0.  0,  15, Huawei_ALE_c5aa, 
A4:2B:8C:34:78:2E, 2017-09-27 02:02:49, 2017-09-27 02:03:00, 11,  54, WPA2, CCMP,PSK, -59,        5,        0,   0.  0.  0.  0,   8, MARIUSSI, 
A6:2B:8C:34:78:2E, 2017-09-27 02:02:49, 2017-09-27 02:02:49, 11,  54, OPN, ,   , -54,        2,        0,   0.  0.  0.  0,  17, Recargame&Navegas, 
0A:18:D6:67:61:54, 2017-09-27 02:01:48, 2017-09-27 02:01:48, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E8:91:20:10:FC:2C, 2017-09-27 02:00:23, 2017-09-27 02:00:23,  2,  54, WPA2, CCMP,PSK, -65,        1,        0,   0.  0.  0.  0,  11, XT1068 4755, 
A4:71:74:E9:AF:73, 2017-09-27 01:59:48, 2017-09-27 01:59:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
68:FB:7E:44:0A:35, 2017-09-27 01:27:48, 2017-09-27 01:57:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
30:07:4D:F0:10:DA, 2017-09-27 01:27:48, 2017-09-27 01:57:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
2A:A4:3C:31:B8:3D, 2017-09-27 01:53:46, 2017-09-27 01:53:46,  3,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
04:02:1F:41:C9:37, 2017-09-27 01:50:23, 2017-09-27 01:50:23,  6,  54, WPA2, CCMP,PSK, -65,        1,        0,   0.  0.  0.  0,   8, juanito4, 
A8:81:95:42:48:22, 2017-09-27 01:27:34, 2017-09-27 01:41:36,  6,  54, WPA2, CCMP,PSK, -67,       15,        0,   0.  0.  0.  0,   9, AndroidAP, 
5A:48:22:E1:C8:F7, 2017-09-27 01:38:02, 2017-09-27 01:38:02, 11,  54, WPA2, CCMP,PSK, -67,        1,        0,   0.  0.  0.  0,  20, Xperia C5 Ultra_a916, 
14:60:80:CD:25:84, 2017-09-27 01:33:47, 2017-09-27 01:33:47,  1,  54, WPA2, CCMP TKIP,PSK, -71,        1,        0,   0.  0.  0.  0,  12, FibraETB2584, 
E8:91:20:AA:6E:06, 2017-09-27 01:33:02, 2017-09-27 01:33:02,  1,  54, WPA2, CCMP,PSK, -66,        1,        0,   0.  0.  0.  0,   8, giovanny, 
CC:7B:35:AA:3D:14, 2017-09-27 01:17:29, 2017-09-27 01:31:36,  9,  54, WPA2, CCMP TKIP,PSK, -71,        8,        0,   0.  0.  0.  0,   6, srojas, 
70:14:A6:09:C6:CD, 2017-09-27 01:24:48, 2017-09-27 01:24:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
D8:BB:2C:BD:AE:EE, 2017-09-27 01:24:48, 2017-09-27 01:24:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
AC:29:3A:E6:FA:6C, 2017-09-27 01:24:48, 2017-09-27 01:24:48, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
18:D2:76:12:FC:08, 2017-09-27 01:24:38, 2017-09-27 01:24:38,  2,  54, WPA2, CCMP,PSK, -65,        1,        0,   0.  0.  0.  0,  11, HUAWEI-FC08, 
60:AF:6D:B8:03:CA, 2017-09-27 01:18:34, 2017-09-27 01:18:34, 11,  54, OPN, ,   , -72,        1,        0,   0.  0.  0.  0,   8, yupi san, 
AE:5F:3E:37:A8:34, 2017-09-27 01:18:25, 2017-09-27 01:18:25, 11,  54, WPA2, CCMP,PSK, -71,        1,        0,   0.  0.  0.  0,   9, Daniel s7, 
EC:10:7B:C7:B1:83, 2017-09-27 01:15:58, 2017-09-27 01:16:01, 11,  54, WPA2, CCMP,PSK, -61,        2,        0,   0.  0.  0.  0,   9, AndroidAP, 
E4:C8:01:3F:5B:C0, 2017-09-27 01:12:59, 2017-09-27 01:13:00, 11,  54, WPA2, CCMP,PSK, -65,        1,        1,   0.  0.  0.  0,  11, Life One X2, 
CC:3A:61:61:0C:C0, 2017-09-27 01:11:47, 2017-09-27 01:11:47,  6,  54, WPA2, CCMP,PSK, -72,        1,        0,   0.  0.  0.  0,  14, AndroidAPkty5h, 
CC:C3:EA:1D:87:59, 2017-09-27 01:11:22, 2017-09-27 01:11:22,  1,  54, WPA2, CCMP,PSK, -61,        1,        0,   0.  0.  0.  0,   7, johanna, 
2C:54:2D:38:67:55, 2017-09-27 01:10:14, 2017-09-27 01:10:14,  4,  -1, WPA, ,   ,  -1,        0,        3,   0.  0.  0.  0,   0, , 
34:14:5F:A1:F2:E3, 2017-09-27 01:07:07, 2017-09-27 01:07:51, 11,  54, WPA2, CCMP,PSK, -61,       15,        0,   0.  0.  0.  0,   9, AndroidAP, 
54:27:58:94:06:E5, 2017-09-27 01:08:37, 2017-09-27 01:08:56,  6,  54, WPA2, CCMP,PSK, -68,        1,        0,   0.  0.  0.  0,  11, Lenovo PHAB, 
