Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;Isabel;CC:35:40:41:47:59;;1;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;1;0;0;1;;;Mon Oct  2 18:32:55 2017;Mon Oct  2 18:33:03 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ARRIS-D332;14:CF:E2:4A:D3:30;;1;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:32:55 2017;Mon Oct  2 18:33:01 2017;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;FAMILIA GUEVARA;90:0D:CB:C0:18:50;;7;No;WPA2,AES-CCM;No;54.0;0;1;0;1;0;0;1;;;Mon Oct  2 18:32:58 2017;Mon Oct  2 18:33:02 2017;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;GinnaSuarez;90:1A:CA:A3:0B:00;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 18:32:55 2017;Mon Oct  2 18:32:55 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;ARRIS-A012;BC:CA:B5:DC:A0:10;;3;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Mon Oct  2 18:32:55 2017;Mon Oct  2 18:33:04 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;HERCULES ;90:C7:92:44:C1:80;;9;No;WPA2,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Mon Oct  2 18:32:58 2017;Mon Oct  2 18:32:58 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;DIONY;90:1A:CA:C9:5E:D0;;11;No;WPA2,AES-CCM;No;54.0;0;1;0;1;0;0;1;;;Mon Oct  2 18:33:00 2017;Mon Oct  2 18:33:02 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure; URIBE;88:F7:C7:9E:38:D5;;11;No;WPA2,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:33:00 2017;Mon Oct  2 18:33:00 2017;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;CASADECHELA;D0:60:8C:FA:32:4E;;1;No;WPA2,WPA,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Oct  2 18:32:55 2017;Mon Oct  2 18:32:55 2017;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;BRUNO;90:00:4E:2B:D4:4B;;9;No;WPA2,AES-CCM,TKIP;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 18:32:58 2017;Mon Oct  2 18:32:59 2017;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;Movistar_15405316;E0:41:36:9F:F7:70;;1;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Mon Oct  2 18:32:55 2017;Mon Oct  2 18:33:01 2017;-59;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
